fieldName,fieldAlias,fieldType,tableHeader,category,indentLevel,universeField,rowID,groupID,chartCategory,chartType,canSum,parentField,percentOfField
FOODPREP,Food preparation and serving related occupations,Number,Food preparation and serving related occupations,Occupation,2,0,127,<span class='myHiddenClass'>12</span>Occupation,,,TRUE,SERVICEOCC,
GROUNDSMAINT,Building and grounds cleaning and maintenance occupations,Number,Building and grounds cleaning and maintenance occupations,Occupation,2,0,128,<span class='myHiddenClass'>12</span>Occupation,,,TRUE,SERVICEOCC,
PERSONALCARE,Personal care and service occupations,Number,Personal care and service occupations,Occupation,2,0,129,<span class='myHiddenClass'>12</span>Occupation,,,TRUE,SERVICEOCC,
SALESOFFICEOCC,Sales and office occupations,Number,Sales and office occupations,Occupation,1,0,130,<span class='myHiddenClass'>12</span>Occupation,Occupation,pie,TRUE,,CIVILIAN_EMPLOYED_16_PLUS
SALESOCC,Sales and related occupations,Number,Sales and related occupations,Occupation,2,0,131,<span class='myHiddenClass'>12</span>Occupation,,,TRUE,SALESOFFICEOCC,
OFFICEADMIN,Office and administrative support occupations,Number,Office and administrative support occupations,Occupation,2,0,132,<span class='myHiddenClass'>12</span>Occupation,,,TRUE,SALESOFFICEOCC,
NATRESOURCES,"Natural resources, construction, and maintenance occupations",Number,"Natural resources, construction, and maintenance occupations",Occupation,1,0,133,<span class='myHiddenClass'>12</span>Occupation,Occupation,pie,TRUE,,CIVILIAN_EMPLOYED_16_PLUS
FARMFISH,"Farming, fishing, and forestry occupations",Number,"Farming, fishing, and forestry occupations",Occupation,2,0,134,<span class='myHiddenClass'>12</span>Occupation,,,TRUE,NATRESOURCES,
CONSTRUCTION,Construction and extraction occupations,Number,Construction and extraction occupations,Occupation,2,0,135,<span class='myHiddenClass'>12</span>Occupation,,,TRUE,NATRESOURCES,
INSTREPAIR,"Installation, maintenance, and repair occupations",Number,"Installation, maintenance, and repair occupations",Occupation,2,0,136,<span class='myHiddenClass'>12</span>Occupation,,,TRUE,NATRESOURCES,
PRODTRANSMATERIAL,"Production, transportation, and material moving occupations",Number,"Production, transportation, and material moving occupations",Occupation,1,0,137,<span class='myHiddenClass'>12</span>Occupation,Occupation,pie,TRUE,,CIVILIAN_EMPLOYED_16_PLUS
PRODUCTION,Production occupations,Number,Production occupations,Occupation,2,0,138,<span class='myHiddenClass'>12</span>Occupation,,,TRUE,PRODTRANSMATERIAL,
TRANSPORTATION,Transportation occupations,Number,Transportation occupations,Occupation,2,0,139,<span class='myHiddenClass'>12</span>Occupation,,,TRUE,PRODTRANSMATERIAL,
MATERIALMOVING,Material moving occupations,Number,Material moving occupations,Occupation,2,0,140,<span class='myHiddenClass'>12</span>Occupation,,,TRUE,PRODTRANSMATERIAL,
TOTAL_HOUSING_UNITS,Total Housing Units,Number,Total Housing Units,Housing,0,1,141,<span class='myHiddenClass'>13</span>Housing,,,TRUE,,
Units,Units in Structure,Number,Units in Structure,Housing,0,2,142,<span class='myHiddenClass'>13</span>Housing,,,TRUE,,TOTAL_HOUSING_UNITS
ONE_UNIT_DETACHED,"1, detached",Number,"1, detached",Housing,1,0,143,<span class='myHiddenClass'>13</span>Housing,,,TRUE,,TOTAL_HOUSING_UNITS
ONE_UNIT_ATTACHED,"1, attached",Number,"1, attached",Housing,1,0,144,<span class='myHiddenClass'>13</span>Housing,,,TRUE,,TOTAL_HOUSING_UNITS
TWO_TO_NINE_UNITS,2 to 9,Number,2 to 9,Housing,1,0,145,<span class='myHiddenClass'>13</span>Housing,,,TRUE,,TOTAL_HOUSING_UNITS
TEN_OR_MORE_UNITS,10 or more,Number,10 or more,Housing,1,0,146,<span class='myHiddenClass'>13</span>Housing,,,TRUE,,TOTAL_HOUSING_UNITS
MOBILE_HOME,Mobile Home,Number,Mobile Home,Housing,1,0,147,<span class='myHiddenClass'>13</span>Housing,,,TRUE,,TOTAL_HOUSING_UNITS
